date_sk,date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend
20250101,2025-01-01,2025,1,1,January,1,3,Wednesday,false
20250102,2025-01-02,2025,1,1,January,1,4,Thursday,false
20250103,2025-01-03,2025,1,1,January,1,5,Friday,false
20250104,2025-01-04,2025,1,1,January,1,6,Saturday,true
20250105,2025-01-05,2025,1,1,January,1,7,Sunday,true
20250106,2025-01-06,2025,1,1,January,2,1,Monday,false
20250107,2025-01-07,2025,1,1,January,2,2,Tuesday,false
20250108,2025-01-08,2025,1,1,January,2,3,Wednesday,false
20250109,2025-01-09,2025,1,1,January,2,4,Thursday,false
20250110,2025-01-10,2025,1,1,January,2,5,Friday,false
